hs6code,description
290110,Saturated
290121,Ethylene
290122,Propene (propylene)
290123,Butene (butylene) and isomers thereof
290124,"Buta-1,3-diene and isoprene"
290211,Cyclohexane
290220,Benzene
290230,Toluene
290241,o-Xylene
290242,m-Xylene
290243,p-Xylene
290244,Mixed xylene isomers
290250,Styrene
290260,Ethylbenzene
290270,Cumene
290311,Chloromethane (methyl chloride) and chloroethane (ethyl chloride)
290312,Dichloromethane (methylene chloride)
290313,Chloroform (trichloromethane)
290314,Carbon tetrachloride
290315,"Ethylene dichloride (ISO) (1,2-dichloroethane)"
290316,"1,2-Dichloropropane (propylene dichloride) and dichlorobutanes"
290321,Vinyl chloride (chloroethylene)
290322,Trichloroethylene
290323,Tetrachloroethylene (perchloroethylene)
290330,"Fluorinated, brominated or iodinated derivatives of acyclic hydrocarbons"
290331,"Ethylene dibromide (ISO) (1,2-dibromoethane)"
290340,Halogenated derivatives of acyclic hydrocarbons containing two or more different halogens
290341,Trichlorofluoromethane
290342,Dichlorodifluoromethane
290343,Trichlorotrifluoroethanes
290344,Dichlorotetrafluoroethanes and chloropentafluoroethane
290345,Other derivatives perhalogenated only with fluorine and chlorine
290346,"Bromochlorodifluoromethane, bromotrifluoromethane and dibromotetrafluoroethanes"
290347,Other perhalogenated derivatives
290348,"Saturated fluorinated derivatives of acyclic hydrocarbons; 1,1,1,3,3-pentafluorobutane (HFC-365mfc) and 1,1,1,2,2,3,4,5,5,5-decafluoropentane (HFC-43-10mee)"
290351,"1,2,3,4,5,6-Hexachlorocyclohexane (HCH (ISO)), including lindane (ISO, INN)"
290352,"Aldrin (ISO), chlordane (ISO) and heptachlor (ISO)"
290361,"Chlorobenzene, o-dichlorobenzene and p-dichlorobenzene"
290362,"Hexachlorobenzene (ISO) and DDT (ISO) (clofenotane (INN), 1,1,1-trichloro-2,2-bis(p-chlorophenyl)ethane)"
290371,Chlorodifluoromethane
290372,Dichlorotrifluoroethanes
290373,Dichlorofluoroethanes
290374,Chlorodifluoroethanes
290375,Dichloropentafluoropropanes
290376,"Bromochlorodifluoromethane, bromotrifluoromethane and dibromotetrafluoroethanes"
290377,"Other, perhalogenated only with fluorine and chlorine"
290378,Other perhalogenated derivatives
290381,"1,2,3,4,5,6-Hexachlorocyclohexane (HCH (ISO)), including lindane (ISO, INN)"
290382,"Aldrin (ISO), chlordane (ISO) and heptachlor (ISO)"
290383,Mirex (ISO)
290391,"Chlorobenzene, o-dichlorobenzene and p-dichlorobenzene"
290392,"Hexachlorobenzene (ISO) and DDT (ISO) (clofenotane (INN), 1,1,1-trichloro-2,2-bis(p-chlorophenyl)ethane)"
290393,Pentachlorobenzene (ISO)
290394,Hexabromobiphenyls
290410,"Derivatives containing only sulpho groups, their salts and ethyl esters"
290420,Derivatives containing only nitro or only nitroso groups
290431,Perfluorooctane sulphonic acid
290432,Ammonium perfluorooctane sulphonate
290433,Lithium perfluorooctane sulphonate
290434,Potassium perfluorooctane sulphonate
290435,Other salts of perfluorooctane sulphonic acid
290436,Perfluorooctane sulphonyl fluoride
290491,Trichloronitromethane (chloropicrin)
290511,Methanol (methyl alcohol)
290512,Propan-1-ol (propyl alcohol) and propan-2-ol (isopropyl alcohol)
290513,Butan-1-ol (n-butyl alcohol)
290514,Other butanols
290515,Pentanol (amyl alcohol) and isomers thereof
290516,Octanol (octyl alcohol) and isomers thereof
290517,"Dodecan-1-ol (lauryl alcohol), hexadecan-1-ol (cetyl alcohol) and octadecan-1-ol (stearyl alcohol)"
290521,Allyl alcohol
290522,Acyclic terpene alcohols
290531,Ethylene glycol (ethanediol)
290532,"Propylene glycol (propane-1,2-diol)"
290541,"2-Ethyl-2-(hydroxymethyl)propane-1,3-diol (trimethylolpropane)"
290542,Pentaerythritol
290543,Mannitol
290544,D-glucitol (sorbitol)
290545,Glycerol
290550,"Halogenated, sulphonated, nitrated or nitrosated derivatives of acyclic alcohols"
290551,Ethchlorvynol (INN)
290611,Menthol
290612,"Cyclohexanol, methylcyclohexanols and dimethylcyclohexanols"
290613,Sterols and inositols
290614,Terpineols
290621,Benzyl alcohol
290711,Phenol (hydroxybenzene) and its salts
290712,Cresols and their salts
290713,"Octylphenol, nonylphenol and their isomers; salts thereof"
290714,Xylenols and their salts
290715,Naphthols and their salts
290721,Resorcinol and its salts
290722,Hydroquinone (quinol) and its salts
290723,"4,4'-Isopropylidenediphenol (bisphenol A, diphenylolpropane) and its salts"
290730,Phenol-alcohols
290810,Derivatives containing only halogen substituents and their salts
290811,Pentachlorophenol (ISO)
290820,"Derivatives containing only sulpho groups, their salts and esters"
290891,Dinoseb (ISO) and its salts
290892,"4,6-Dinitro-o-cresol (DNOC (ISO)) and its salts"
290911,Diethyl ether
290920,"Cyclanic, cyclenic or cycloterpenic ethers and their halogenated, sulphonated, nitrated or nitrosated derivatives"
290930,"Aromatic ethers and their halogenated, sulphonated, nitrated or nitrosated derivatives"
290941,"2,2'-Oxydiethanol (diethylene glycol, digol)"
290942,Monomethyl ethers of ethylene glycol or of diethylene glycol
290943,Monobutyl ethers of ethylene glycol or of diethylene glycol
290944,Other monoalkylethers of ethylene glycol or of diethylene glycol
290950,"Ether-phenols, ether-alcohol-phenols and their halogenated, sulphonated, nitrated or nitrosated derivatives"
290960,"Alcohol peroxides, ether peroxides, ketone peroxides and their halogenated, sulphonated, nitrated or nitrosated derivatives"
291010,Oxirane (ethylene oxide)
291020,Methyloxirane (propylene oxide)
291030,"1-Chloro-2,3-epoxypropane (epichlorohydrin)"
291040,"Dieldrin (ISO, INN)"
291050,Endrin (ISO)
291100,"Acetals and hemiacetals, whether or not with other oxygen function, and their halogenated, sulphonated, nitrated or nitrosated derivatives"
291211,Methanal (formaldehyde)
291212,Ethanal (acetaldehyde)
291213,"Butanal (butyraldehyde, normal isomer)"
291221,Benzaldehyde
291230,Aldehyde-alcohols
291241,Vanillin (4-hydroxy-3-methoxybenzaldehyde)
291242,Ethylvanillin (3-ethoxy-4-hydroxybenzaldehyde)
291250,Cyclic polymers of aldehydes
291260,Paraformaldehyde
291300,"Halogenated, sulphonated, nitrated or nitrosated derivatives of products of heading 2912"
291411,Acetone
291412,Butanone (methyl ethyl ketone)
291413,4-Methylpentan-2-one (methyl isobutyl ketone)
291421,Camphor
291422,Cyclohexanone and methylcyclohexanones
291423,Ionones and methylionones
291430,Aromatic ketones without other oxygen function
291431,Phenylacetone (phenylpropan-2-one)
291440,Ketone-alcohols and ketone-aldehydes
291441,4-Hydroxy-4-methylpentan-2-one (diacetone alcohol)
291450,Ketone-phenols and ketones with other oxygen function
291461,Anthraquinone
291462,Coenzyme Q10 (ubidecarenone (INN))
291470,"Halogenated, sulphonated, nitrated or nitrosated derivatives"
291471,Chlordecone (ISO)
291511,Formic acid
291512,Salts of formic acid
291513,Esters of formic acid
291521,Acetic acid
291522,Sodium acetate
291523,Cobalt acetates
291524,Acetic anhydride
291531,Ethyl acetate
291532,Vinyl acetate
291533,n-Butyl acetate
291534,Isobutyl acetate
291535,2- Ethoxyethyl acetate
291536,Dinoseb (ISO) acetate
291540,"Mono-, di- or trichloroacetic acids, their salts and esters"
291550,"Propionic acid, its salts and esters"
291560,"Butanoic acids, pentanoic acids, their salts and esters"
291570,"Palmitic acid, stearic acid, their salts and esters"
291611,Acrylic acid and its salts
291612,Esters of acrylic acid
291613,Methacrylic acid and its salts
291614,Esters of methacrylic acid
291615,"Oleic, linoleic or linolenic acids, their salts and esters"
291616,Binapacryl (ISO)
291620,"Cyclanic, cyclenic or cycloterpenic monocarboxylic acids, their anhydrides, halides, peroxides, peroxyacids and their derivatives"
291631,"Benzoic acid, its salts and esters"
291632,Benzoyl peroxide and benzoyl chloride
291633,"Phenylacetic acid, its salts and esters"
291634,Phenylacetic acid and its salts
291635,Esters of phenylacetic acid
291636,Binapacryl (ISO)
